region,district,settlement,settlement_type,latitude,longitude,landscape,atlas_system,question_type,question_id,question,linguistic_unit_1,linguistic_unit_2,linguistic_unit_3,comment,source,year
Удмуртская Республика,г. Ижевск,Ижевск,город,56.8527,53.2115,городская агломерация,ДАРЯ,ДАРЯ: фонетика,D-FON-01,Произношение согласного /г/ в интервокальной позиции,[g] взрывной,[ɣ] фрикативный,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,г. Ижевск,Ижевск,город,56.8527,53.2115,городская агломерация,ДАРЯ,ДАРЯ: фонетика,D-FON-02,Тип безударного вокализма после твёрдых согласных,аканье,,,форма требует проверки по аудио/анкете,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,г. Ижевск,Ижевск,город,56.8527,53.2115,городская агломерация,ДАРЯ,ДАРЯ: морфология,D-MOR-01,Окончание 3 л. мн. ч. настоящего времени,вариативное окончание,,,вариант отмечен в речи старшего информанта,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,г. Ижевск,Ижевск,город,56.8527,53.2115,городская агломерация,ДАРЯ,ДАРЯ: синтаксис,D-SYN-01,Конструкция выражения обладания,у меня есть,,,возможна смешанная традиция из-за миграций,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,г. Ижевск,Ижевск,город,56.8527,53.2115,городская агломерация,ЛАРНГ,ЛАРНГ: лексика / природа,L-NAT-01,Название открытого места в лесу,поляна,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,г. Ижевск,Ижевск,город,56.8527,53.2115,городская агломерация,ЛАРНГ,ЛАРНГ: лексика / природа,L-NAT-02,Название сильного дождя,проливень,,,форма требует проверки по аудио/анкете,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,г. Ижевск,Ижевск,город,56.8527,53.2115,городская агломерация,ЛАРНГ,ЛАРНГ: лексика / материальная культура,L-MAT-01,Название традиционного сельского дома,хата,,,вариант отмечен в речи старшего информанта,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,г. Ижевск,Ижевск,город,56.8527,53.2115,городская агломерация,ЛАРНГ,ЛАРНГ: лексика / животный мир,L-ZOO-01,Название мелкой рыбы,сорожка,пескарь,,возможна смешанная традиция из-за миграций,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Сарапульский район,Сарапул,город,56.4616,53.8037,долина Камы,ДАРЯ,ДАРЯ: фонетика,D-FON-01,Произношение согласного /г/ в интервокальной позиции,[h] придыхательный,,,форма требует проверки по аудио/анкете,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Сарапульский район,Сарапул,город,56.4616,53.8037,долина Камы,ДАРЯ,ДАРЯ: фонетика,D-FON-02,Тип безударного вокализма после твёрдых согласных,смешанный тип,,,вариант отмечен в речи старшего информанта,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Сарапульский район,Сарапул,город,56.4616,53.8037,долина Камы,ДАРЯ,ДАРЯ: морфология,D-MOR-01,Окончание 3 л. мн. ч. настоящего времени,-ат/-ят,,,возможна смешанная традиция из-за миграций,демо-данные для интерфейса; заменить на полевые материалы,2026
